Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:61ZM92T2zaXIVsqncThQzC,"In Your Eyes (feat. Alida)","In Your Eyes (feat. Alida)","Robin Schulz,Alida",2020-01-10,208222,63,false,teage03,2021-01-03T17:14:41Z,"tropical house","WM Germany",0.57,0.672,8,-5.888,0,0.0716,0.172,0.00000104,0.0768,0.461,120.018,4
spotify:track:6IofTLFq2t9oJHctts8nG4,"Diamonds","Diamonds","Crystal Rock,KALUMA,Blaikz",2020-08-07,168004,36,false,teage03,2021-01-03T17:14:41Z,"slap house","My.Cover.Music",0.741,0.678,11,-6.858,0,0.0854,0.0113,0.000106,0.16,0.412,124.93,4
spotify:track:1FP9s72rDYty6mfoOEYKnE,"All We Got (feat. KIDDO)","All We Got (feat. KIDDO)","Robin Schulz,KIDDO",2020-10-16,190218,62,true,teage03,2021-01-03T17:14:41Z,"tropical house","WM Germany",0.504,0.76,4,-4.246,1,0.0426,0.286,0,0.151,0.64,183.933,4
spotify:track:7CHi4DtfK4heMlQaudCuHK,"Lose Control","Lose Control","MEDUZA,Becky Hill,Goodboys",2019-10-11,168387,74,false,teage03,2021-01-03T17:14:41Z,"","Virgin",0.598,0.527,10,-8.659,0,0.0415,0.129,0,0.14,0.53,123.943,4
spotify:track:7yBbV2k2S2uhaQc24NF2xt,"Stupid Love","Chromatica","Lady Gaga",2020-05-29,193533,70,false,teage03,2021-01-03T17:14:41Z,"art pop,pop","Interscope",0.68,0.825,8,-4.296,1,0.0702,0.00173,0.000122,0.27,0.784,117.987,4
spotify:track:696DnlkuDOXcMAnKlTgXXK,"ROXANNE","ROXANNE","Arizona Zervas",2019-10-10,163636,78,true,teage03,2021-01-03T17:14:41Z,"","Arizona Zervas",0.621,0.601,6,-5.616,0,0.148,0.0522,0,0.46,0.457,116.735,5
spotify:track:7aiClxsDWFRQ0Kzk5KI5ku,"hot girl bummer","hot girl bummer","blackbear",2019-08-23,185093,5,true,teage03,2021-01-03T17:14:41Z,"","Beartrap/ Alamo/ Interscope Records",0.778,0.559,6,-7.109,0,0.0776,0.128,0,0.399,0.678,129.989,1
spotify:track:59qrUpoplZxbIZxk6X0Bm3,"Take You Dancing","Take You Dancing","Jason Derulo",2020-07-22,190306,74,false,teage03,2021-01-03T17:14:41Z,"","Atlantic Records",0.789,0.711,2,-4.248,1,0.041,0.0332,0,0.0876,0.753,112.985,4
spotify:track:0Cnb8XdGDMHAmIRBUJMkIS,"Where The Lights Are Low","Where The Lights Are Low","Toby Romeo,Felix Jaehn,FAULHABER",2021-01-22,136995,63,false,teage03,2021-02-22T20:53:41Z,"tropical house,slap house","Virgin",0.759,0.807,8,-5.812,0,0.122,0.448,0,0.105,0.62,123.904,4
spotify:track:1XZy2eprbATl4AnL9Fpsw1,"Dance Alone","Dance Alone","Sia,Kylie Minogue",2024-02-07,172246,60,false,teage03,2024-03-24T20:24:22Z,"dance pop","Monkey Puzzle/Atlantic",0.687,0.651,1,-4.756,1,0.0419,0.00296,0.26,0.0822,0.508,119.961,4
