Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3eQsDyIiFA52ZISozJQ1Lm,"Human Being","Human Being","Nico Santos",2024-07-12,174307,55,false,teage03,2024-11-13T13:45:24Z,"","Virgin",0.68,0.694,0,-5.667,1,0.0534,0.119,0,0.125,0.48,77.988,4
spotify:track:5dIW2ogrgeDlOPIEM0dNcb,"Left In Your Love","Left In Your Love","Loi",2024-11-22,183021,52,false,teage03,2025-03-09T08:03:44Z,"","VOLKSMUSIC/WM Germany",0.455,0.546,2,-6.152,1,0.044,0.415,0,0.118,0.103,170.066,4
spotify:track:5msO1c9VNP14k2t4EvXEsi,"Wave","Wave","FAST BOY,Raf",2024-07-12,163591,64,false,teage03,2024-10-23T21:40:03Z,"italo dance,italo disco,italian singer-songwriter","Virgin",0.724,0.686,3,-5.586,0,0.0294,0.00553,0.00000196,0.273,0.347,116.01,4
spotify:track:3Vr3zh0r7ALn8VLqCiRR10,"Stargazing","Stargazing","Myles Smith",2024-05-10,172533,91,false,teage03,2024-05-26T10:36:52Z,"","RCA Records Label",0.635,0.601,1,-6.129,0,0.0295,0.246,0,0.11,0.332,123.994,4
spotify:track:2DufAlDkMT5qeTwTjVL0mo,"Happy Ending (feat. Voice Impact & Yazik)","Happy Ending (feat. Voice Impact & Yazik)","Crystal Rock,Marc Kiss,Pule,Voice Impact,Yazik",2022-03-18,132755,49,false,teage03,2024-05-26T11:19:55Z,"slap house","NITRON music",0.72,0.68,1,-7.157,1,0.275,0.167,0.0000125,0.426,0.657,126.955,4
spotify:track:7bkUa9kDFGxgCC7d36dzFI,"Rote Flaggen","ROTE FLAGGEN","Berq",2023-05-25,224591,72,true,teage03,2025-01-25T22:09:18Z,"german indie,german pop","Urban",0.359,0.336,1,-12.895,0,0.0422,0.773,0,0.184,0.109,109.94,3
spotify:track:7ne4VBA60CxGM75vw0EYad,"That’s So True","The Secret of Us (Deluxe)","Gracie Abrams",2024-10-18,166300,96,true,teage03,2025-01-03T15:51:57Z,"","Gracie Abrams, under exclusive license to Interscope Records",0.554,0.808,1,-4.169,1,0.0368,0.214,0,0.159,0.372,108.548,4
spotify:track:3DarAbFujv6eYNliUTyqtz,"Kiss Me More (feat. SZA)","Planet Her","Doja Cat,SZA",2021-06-25,208666,87,true,teage03,2021-08-04T07:44:50Z,"r&b","Kemosabe Records/RCA Records",0.764,0.705,8,-3.463,1,0.0284,0.259,0.0000892,0.12,0.781,110.97,4
spotify:track:4btFHqumCO31GksfuBLLv3,"Overpass Graffiti","=","Ed Sheeran",2021-10-25,236906,71,false,teage03,2021-12-02T20:47:41Z,"soft pop","Atlantic Records UK",0.52,0.849,9,-3.794,0,0.186,0.00253,0,0.119,0.774,175.908,4
spotify:track:0oA9wBGDY4uyILLg4GymWP,"Tom's Diner","Tom's Diner","AnnenMayKantereit,Giant Rooks",2019-06-28,269333,77,false,teage03,2022-04-24T17:57:31Z,"german indie,german pop","Vertigo Berlin",0.68,0.428,6,-8.107,0,0.135,0.376,0.000344,0.355,0.334,98.222,4
spotify:track:0g2leZuI3jD5pRsrRIDvYe,"Nachts wach","Nachts wach","Miksu / Macloud,makko",2022-07-08,178973,2,true,teage03,2022-07-31T06:09:28Z,"german hip hop,german indie","FUTURA",0.719,0.683,6,-7.083,0,0.255,0.58,0,0.304,0.634,136.151,4
spotify:track:3nHuKdFJZm78CoeBnDcFKe,"Bad Dreams","Bad Dreams","Teddy Swims",2024-09-13,184577,86,false,teage03,2025-01-03T15:51:57Z,"","Warner Records",0.707,0.68,8,-6.203,1,0.0884,0.274,0,0.0932,0.62,125.058,4
spotify:track:1v1cijv1qjMJ5o9OvMWACS,"Fata Morgana","Fata Morgana","Nina Chuba",2024-11-08,164585,74,false,teage03,2025-01-03T15:51:57Z,"german indie,german pop,german hip hop","Jive",0.794,0.625,4,-7.278,0,0.0444,0.347,0,0.107,0.703,117.971,4
spotify:track:18XlJEroUwFo0tLZxscgXE,"Lost","JORDI (Deluxe)","Maroon 5",2021-06-11,172597,66,false,teage03,2021-08-04T07:23:09Z,"pop","Interscope Records*",0.766,0.706,7,-6.553,0,0.16,0.223,0.00028,0.064,0.766,142.989,4
spotify:track:3jjujdWJ72nww5eGnfs2E7,"Adore You","Fine Line","Harry Styles",2019-12-13,207133,84,false,teage03,2021-01-03T17:14:41Z,"","Columbia",0.676,0.771,8,-3.675,1,0.0483,0.0237,0.000007,0.102,0.569,99.048,4
spotify:track:2wvUmObLQbxClXFsuhw8Ns,"Nein!","Nein!","AYLIVA",2024-07-19,194217,57,false,teage03,2025-01-03T15:51:57Z,"german pop","Whiteheart Records/WM Germany",0.676,0.778,8,-5.612,1,0.046,0.0257,0.0000246,0.229,0.263,112.035,4
spotify:track:6j0l7Hjt6qeDCQnYBZuJXY,"The One","Hy Brasil","Rea Garvey,VIZE",2020-11-20,164560,58,false,teage03,2021-01-03T17:14:41Z,"slap house","Island Records",0.83,0.796,5,-4.578,1,0.12,0.0248,0.0000568,0.0622,0.422,128.021,4
spotify:track:7j5zuRDpIW9CdRDcsLNxBD,"110 (Prolog)","Treppenhaus","LEA",2020-05-29,175760,42,false,teage03,2022-04-24T17:02:55Z,"german pop,german hip hop","Four Music/Treppenhaus Records",0.462,0.695,4,-5.66,1,0.298,0.191,0,0.207,0.288,179.764,4
spotify:track:79WmVVG6KbCecp45eyhbfX,"Sleeping With The Lights On","Second Wind","Daniel Seavey",2025-03-07,224733,74,false,teage03,2025-05-04T20:01:46Z,"","Atlantic Records",0.58,0.745,0,-5.947,1,0.038,0.059,0,0.12,0.218,132.985,4
spotify:track:12OXyuPmhiyC2MYkREEAb6,"Someday Soon","Dreamers","ClockClock",2024-09-27,204800,59,true,teage03,2025-01-03T15:51:57Z,"","WEFOR",0.793,0.841,7,-5.327,0,0.0402,0.196,0,0.0962,0.772,127.978,4
spotify:track:6vhOyWiOnO7EzxnXBllmkQ,"Go Solo (feat. Tom Rosenthal)","Go Solo (feat. Tom Rosenthal)","Zwette,Tom Rosenthal",2019-11-08,192893,65,false,teage03,2024-05-26T11:09:27Z,"tropical house","Columbia/B1 Recordings",0.783,0.557,1,-8.599,1,0.0275,0.641,0.0506,0.116,0.368,108.012,4
spotify:track:2GxrNKugF82CnoRFbQfzPf,"i like the way you kiss me","i like the way you kiss me","Artemas",2024-03-19,142514,85,false,teage03,2024-05-17T07:24:35Z,"","Artemas",0.599,0.946,11,-4.263,1,0.0447,0.000938,0.0106,0.0826,0.747,151.647,4
spotify:track:3uUuGVFu1V7jTQL60S1r8z,"Where Are You Now","Where Are You Now","Lost Frequencies,Calum Scott",2021-07-30,148197,82,false,teage03,2024-10-23T21:46:02Z,"tropical house,soft pop","Epic Amsterdam",0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,0.262,120.966,4
spotify:track:5fZJQrFKWQLb7FpJXZ1g7K,"A Bar Song (Tipsy)","Where I've Been Isn't Where I'm Going","Shaboozey",2024-05-31,171291,86,true,teage03,2025-01-03T15:51:57Z,"","American Dogwood / EMPIRE",0.722,0.706,9,-4.857,1,0.0292,0.072,0,0.067,0.599,80.969,4
spotify:track:7z7kvUQGwlC6iOl7vMuAr9,"Dancing In The Flames","Dancing In The Flames","The Weeknd",2024-09-13,220036,79,false,teage03,2024-10-23T21:40:11Z,"","XO / Republic Records",0.552,0.73,1,-6.203,1,0.0381,0.0011,0,0.0837,0.162,116.875,4
spotify:track:45BZcKdKl8OXpuGSlSvEun,"Love Again","Future Nostalgia","Dua Lipa",2020-03-27,258004,59,false,teage03,2024-10-12T07:25:38Z,"pop","Urban",0.66,0.634,11,-5.715,0,0.0339,0.00174,0.0000317,0.1,0.507,116.011,4
spotify:track:64f3yNXsi2Vk76odcHCOnw,"bauch beine po","bauch beine po","Shirin David",2024-07-25,133932,27,true,teage03,2024-09-01T10:35:36Z,"german hip hop,german pop","Juicy Money Records",0.954,0.746,4,-6.113,0,0.0995,0.0272,0.00227,0.0892,0.886,123.969,4
spotify:track:6tNQ70jh4OwmPGpYy6R2o9,"Beautiful Things","Beautiful Things","Benson Boone",2024-01-18,180304,89,false,teage03,2024-03-24T20:14:39Z,"","Night Street Records, Inc./Warner Records Inc.",0.472,0.471,10,-5.692,1,0.0603,0.151,0,0.14,0.219,105.029,3
spotify:track:1EHUQesfVKwbthtNcpBi9g,"WITHOUT YOU (with Miley Cyrus)","WITHOUT YOU (with Miley Cyrus)","The Kid LAROI,Miley Cyrus",2021-04-30,161384,65,true,teage03,2024-11-03T15:30:43Z,"","Columbia",0.655,0.469,0,-6.257,1,0.0292,0.173,0,0.0956,0.467,92.56,4
spotify:track:7oQepKHmXDaPC3rgeLRvQu,"Komet","Komet","Udo Lindenberg,Apache 207",2023-01-19,167356,72,false,teage03,2023-02-05T07:05:28Z,"german pop,neue deutsche welle,schlager,german hip hop","Warner Music Central Europe",0.55,0.5,7,-5.779,0,0.045,0.285,0,0.116,0.351,115.016,4
spotify:track:4JGtRHnWyaNq7FIOZoBdPe,"Belong Together","Belong Together","Mark Ambor",2024-02-16,148317,0,false,teage03,2024-03-24T20:14:39Z,"","Mark Ambor, LLC in partnership with Hundred Days Records",0.646,0.668,2,-5.203,1,0.0282,0.491,0,0.212,0.64,90.97,4
spotify:track:5Z0UnEtpLDQyYlWwgi8m9C,"Too Sweet","Unreal Unearth: Unheard","Hozier",2024-03-22,251424,18,false,teage03,2024-10-23T21:42:53Z,"","Rubyworks / Universal-Island Records Ltd",0.741,0.62,10,-5.505,1,0.0412,0.0295,0.000809,0.0398,0.934,117.038,4
spotify:track:6FuGJB290AQMAHTfjOYVaK,"Mood (Remix) feat. Justin Bieber J Balvin & iann dior","Mood (Remix) feat. Justin Bieber J Balvin & iann dior","24kGoldn,Justin Bieber,J Balvin,iann dior",2020-11-06,192745,65,true,teage03,2024-11-03T15:28:09Z,"reggaeton,latin,melodic rap","Records/Columbia",0.721,0.745,7,-3.508,0,0.0366,0.151,0.00000124,0.372,0.699,90.988,4
spotify:track:7vmxzqidBt7y4FxRtsJBVV,"3 Tage am Meer","3 Tage am Meer","AnnenMayKantereit",2022-09-16,197690,0,false,teage03,2024-10-23T21:44:17Z,"german indie,german pop","AnnenMayKantereit Records",0.834,0.664,4,-4.733,1,0.0546,0.244,0.0031,0.0907,0.577,108.983,4
spotify:track:2CewvqbfMOcnvYE3yayAJV,"I Believe","I Believe","KAMRAD",2022-01-07,147007,67,false,teage03,2024-07-10T20:51:33Z,"","Epic Local",0.711,0.681,10,-7.459,1,0.0263,0.124,0,0.262,0.775,118.021,4
spotify:track:3rUGC1vUpkDG9CZFHMur1t,"greedy","greedy","Tate McRae",2023-09-15,131872,92,true,teage03,2023-10-20T19:28:07Z,"","RCA Records Label",0.749,0.729,6,-3.19,0,0.0321,0.261,0,0.113,0.816,111.004,1
spotify:track:7AYmToZ5y67fBjq4RLFbuq,"TEXAS HOLD 'EM","TEXAS HOLD 'EM","Beyoncé",2024-02-10,233456,64,true,teage03,2024-03-24T20:14:39Z,"","Parkwood Entertainment/Columbia",0.727,0.711,2,-6.549,1,0.078,0.582,0,0.158,0.375,110.012,4
spotify:track:2FQrifJ1N335Ljm3TjTVVf,"A Bar Song (Tipsy)","A Bar Song (Tipsy)","Shaboozey",2024-04-12,171291,89,true,teage03,2024-05-17T07:23:49Z,"","American Dogwood / EMPIRE",0.722,0.709,9,-4.95,1,0.0273,0.0633,0,0.0804,0.604,81.012,4
spotify:track:1kHVme7OVyPqhtdiLj2SI4,"Cruel Summer","The Cruelest Summer","Taylor Swift",2023-10-19,178425,39,false,teage03,2024-03-24T20:22:50Z,"","Taylor Swift",0.55,0.711,9,-5.733,1,0.158,0.133,0.0000111,0.106,0.572,169.924,4
spotify:track:59NraMJsLaMCVtwXTSia8i,"Prada","Prada","cassö,RAYE,D-Block Europe",2023-08-11,132359,84,true,teage03,2023-10-20T19:40:44Z,"hypertechno,grime,uk drill","Ministry of Sound Recordings",0.638,0.717,8,-5.804,1,0.0375,0.001,0.00000179,0.113,0.422,141.904,4
spotify:track:0sb8ClU3CLoNblxkpmOKzA,"Maybe You’re The Problem","Maybe You’re The Problem","Ava Max",2022-04-28,190318,8,false,teage03,2022-06-07T17:41:26Z,"","Atlantic Records",0.53,0.835,9,-3.69,1,0.11,0.0453,0,0.0637,0.471,166.02,4
spotify:track:67p96tIoC4ESrod9kW331R,"Hot Air Balloon","FORΞVΞR (DΞLUXΞ ΞDITION)","Don Diablo,AR/CO",2021-11-05,173658,68,false,teage03,2024-05-26T11:16:00Z,"future house,edm","HEXAGON",0.815,0.71,6,-6.353,0,0.0469,0.129,0.528,0.113,0.572,122.967,4
spotify:track:7Bdtb10c2V4oVqsz8Ebkk5,"I Forgive You - (Chromeo Remix) [radio edit]","I Forgive You [(Chromeo Remix) [radio edit]]","Sia,Chromeo",2024-09-13,201123,57,false,teage03,2024-10-12T07:07:18Z,"nu disco,alternative dance,indie dance","Monkey Puzzle/Atlantic",0.698,0.78,6,-5.025,1,0.0488,0.0103,0.00000277,0.315,0.396,118.953,4
spotify:track:5aIVCx5tnk0ntmdiinnYvw,"Water","Water","Tyla",2023-07-28,200255,87,false,teage03,2024-03-24T20:14:39Z,"afrobeats","FAX Records/Epic",0.673,0.722,3,-3.495,0,0.0755,0.0856,0,0.137,0.519,117.187,4
spotify:track:2uqYupMHANxnwgeiXTZXzd,"Austin (Boots Stop Workin')","What Happens Now?","Dasha",2024-02-16,171782,89,true,teage03,2024-07-04T03:04:24Z,"","Warner Records",0.756,0.672,0,-6.743,1,0.0522,0.464,0.00000337,0.108,0.739,114.935,4
spotify:track:16f4ZN6XOfrIO8fJkm28HM,"Wunder","Wunder","AYLIVA,Apache 207",2024-04-26,176492,68,true,teage03,2024-05-17T07:24:35Z,"german pop,german hip hop","Whiteheart Records/WM Germany",0.857,0.687,10,-5.777,0,0.0785,0.109,0.000577,0.0971,0.531,99.969,4
spotify:track:4HDC7Mo6uLTujRvHymiXDf,"Mwaki","Mwaki","Zerb,Sofiya Nzau",2023-11-10,208135,77,false,teage03,2024-03-24T20:14:39Z,"afro house","TH3RD BRAIN",0.847,0.637,7,-8.751,0,0.0587,0.201,0.201,0.121,0.0509,120.033,4
spotify:track:2TGZSBugyuUOHFjsXYBKkD,"Cupid's Bow","Cupid's Bow","Olly Alexander (Years & Years)",2024-10-11,171367,35,false,teage03,2024-10-12T07:07:38Z,"","Polydor Records",0.645,0.677,8,-5.238,1,0.0383,0.0314,0.000156,0.3,0.346,126.989,4
spotify:track:3o8piBTiYYIC9OQBY3xuNk,"Ready For Myself","7","Nelly Furtado",2024-09-20,183927,39,false,teage03,2024-10-23T21:41:18Z,"","Universal Music Canada",0.791,0.888,5,-5.144,0,0.0515,0.00224,0.359,0.254,0.673,128.019,4
spotify:track:5KDLhSpvNJX4buCQochelS,"Lay Your Head On Me","Lay Your Head On Me","Major Lazer,Marcus Mumford,Diplo",2020-03-26,199895,39,false,teage03,2024-07-21T09:49:33Z,"moombahton","Mad Decent",0.65,0.767,11,-7.001,0,0.0486,0.0499,0.000012,0.0935,0.224,120.012,4
spotify:track:60zmUjNMSJzcMvy22azojx,"L'Amour Toujours (I'll Fly With You)","L'Amour Toujours (I'll Fly With You)","KALUMA,Chris van Dutch",2024-05-30,237750,54,false,teage03,2024-07-04T03:09:33Z,"","My.Cover.Music / Tough Stuff! Music",0.642,0.995,8,-4.876,1,0.0488,0.00356,0.8,0.205,0.235,139.984,4
spotify:track:3WALaE7UdNXx8VJ4lpWCK8,"Hide Away","Sit Still Look Pretty","Daya",2016-10-07,191368,76,false,teage03,2024-07-04T03:09:06Z,"","Artbeatz - Daya",0.884,0.826,11,-3.672,0,0.0853,0.222,0.00000229,0.0651,0.465,94.997,4
spotify:track:0mflMxspEfB0VbI1kyLiAv,"Stick Season","Stick Season","Noah Kahan",2022-10-14,182346,88,false,teage03,2024-03-24T20:14:39Z,"","Mercury Records/Republic Records",0.664,0.5,9,-6.935,1,0.0651,0.799,0,0.0966,0.801,117.896,4
spotify:track:5GSYbwIInbmPvNRyl7nDpR,"Selfish","Everything I Thought It Was","Justin Timberlake",2024-03-15,229331,53,false,teage03,2024-08-10T09:02:19Z,"","RCA Records Label",0.69,0.543,1,-6.752,1,0.0364,0.0723,0.0291,0.0873,0.376,88.004,4
spotify:track:5HCyWlXZPP0y6Gqq8TgA20,"STAY (with Justin Bieber)","STAY (with Justin Bieber)","The Kid LAROI,Justin Bieber",2021-07-09,141805,84,true,teage03,2024-03-24T20:23:10Z,"","Columbia",0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928,4
spotify:track:5dPy1CCYQ04xaQHpajf5CY,"The Lost Soul Down","The Lost Soul Down","NBSPLV",2015-12-09,192940,73,false,teage03,2023-10-20T19:40:44Z,"","NBSPLV",0.715,0.741,8,-7.478,1,0.0356,0.0117,0.899,0.189,0.761,112,4
spotify:track:6lHMg45o6S2ny3ZWAaNFZN,"In The Dark","In The Dark","Purple Disco Machine,Sophie and the Giants",2022-01-21,185843,13,false,teage03,2022-03-18T19:35:50Z,"disco house,nu disco,funky house,house","Columbia Local",0.691,0.763,6,-5.628,0,0.0464,0.0405,0.0000367,0.0783,0.771,115.936,4
spotify:track:4EncxuCewsAwSqc5S5jCmz,"Flowers","Flowers","Crystal Rock,Marc Kiss,LØU",2023-03-03,179000,37,false,teage03,2023-06-11T10:42:04Z,"slap house","My.Cover.Music",0.747,0.862,7,-4.052,1,0.061,0.00521,0.00000629,0.246,0.775,125.958,4
spotify:track:4zLCLlqLivpZXvYfQCqTWh,"Ich glaub ich will heut nicht mehr gehen","Glas","Nina Chuba,Provinz",2023-02-24,175554,69,false,teage03,2024-08-10T07:54:23Z,"german indie,german pop,german hip hop","Jive",0.856,0.603,9,-5.915,0,0.193,0.347,0,0.328,0.504,121.977,4
spotify:track:5Eh1nj7IjV9lwpcKAkidyY,"One Of Your Girls","Something To Give Each Other","Troye Sivan",2023-10-13,181481,78,false,teage03,2024-07-04T03:23:25Z,"","EMI Recorded Music Australia Pty Ltd",0.635,0.648,11,-7.78,0,0.0548,0.101,0.00426,0.198,0.8,93,4
spotify:track:21jGcNKet2qwijlDFuPiPb,"Circles","Hollywood's Bleeding","Post Malone",2019-09-06,215280,89,false,teage03,2021-01-03T17:14:41Z,"","Republic Records",0.695,0.763,0,-3.497,1,0.0396,0.189,0.00242,0.0863,0.551,120.042,4
spotify:track:0cVyQfDyRnMJ0V3rjjdlU3,"Lil Boo Thang","Lil Boo Thang","Paul Russell",2023-08-18,114233,81,false,teage03,2024-03-24T20:14:39Z,"","Arista Records",0.85,0.699,0,-3.292,1,0.0776,0.152,0,0.32,0.915,114.481,4
spotify:track:4Et6tUEO7biKxZEfJXpNj1,"Another Love - Tiësto Remix","Another Love (Tiësto Remix)","Tom Odell,Tiësto",2022-05-13,185365,75,false,teage03,2022-07-31T06:11:53Z,"edm,trance,big room,house,dance","Columbia",0.79,0.764,4,-4.685,0,0.0737,0.0836,0.0871,0.132,0.473,123.046,4
spotify:track:2vXKRlJBXyOcvZYTdNeckS,"Lost in the Fire (feat. The Weeknd)","Hyperion","Gesaffelstein,The Weeknd",2019-03-08,202093,84,true,teage03,2022-03-12T13:11:11Z,"","Columbia",0.658,0.671,2,-12.21,1,0.0364,0.0928,0.000919,0.115,0.165,100.967,4
spotify:track:5RKvst7SDOCTWGlLcF6kSE,"Anders","Blaue Stunden","01099,Paul,Ski Aggu",2023-11-03,155020,66,false,teage03,2024-08-10T07:54:54Z,"german indie,german hip hop,german pop","01099 / Bamboo Artists / WMCE",0.743,0.809,8,-7.924,0,0.214,0.527,0.632,0.102,0.342,75.035,4
spotify:track:0WbMK4wrZ1wFSty9F7FCgu,"Good Luck Babe!","Good Luck Babe!","Chappell Roan",2024-04-05,218423,94,false,teage03,2024-07-04T03:06:14Z,"","Chappell Roan PS/ Island",0.7,0.582,11,-5.96,0,0.0356,0.0502,0,0.0881,0.785,116.712,4
spotify:track:2LBnpm1lEMkzD45ZGLmrQd,"BLENDER","BLENDER","5 Seconds of Summer",2022-07-13,147744,0,false,teage03,2022-07-31T06:06:16Z,"","BMG Rights Management (US) LLC",0.67,0.665,8,-5.47,1,0.104,0.0293,0.0000219,0.101,0.694,161.99,4
spotify:track:62hxFc3yOEyauOuuqbKqxt,"Teenage Dirtbag","Teenage Dirtbag","Honey Gee,Crystal Rock,Moestwanted",2021-01-29,160000,43,true,teage03,2022-04-24T17:27:41Z,"slap house","My.Cover.Music",0.617,0.527,4,-6.953,1,0.056,0.036,0,0.161,0.268,120.049,4
spotify:track:50Td3qilgs8BLtv8mHyT1t,"Control","Control","Zoe Wees",2020-03-13,230880,73,false,teage03,2021-01-03T17:14:41Z,"","Valeria Music",0.6,0.465,4,-4.951,1,0.0314,0.643,0.00000148,0.149,0.0682,113.81,4
spotify:track:18asYwWugKjjsihZ0YvRxO,"The Motto","The Motto","Tiësto,Ava Max",2021-11-04,164818,77,false,teage03,2022-03-12T13:11:11Z,"edm,trance,big room,house,dance","Atlantic Records",0.754,0.763,7,-4.627,0,0.0435,0.0301,0.0000223,0.0901,0.464,117.953,4
spotify:track:6ft4hAq6yde8jPZY2i5zLr,"Paradise (feat. Dermot Kennedy)","Paradise","MEDUZA,Dermot Kennedy",2020-10-30,167903,72,false,teage03,2021-02-22T20:50:58Z,"","Universal-Island Records Ltd.",0.632,0.595,8,-7.644,0,0.0401,0.0689,0,0.209,0.435,124.114,4
spotify:track:7JDWhC422Gtk1Bq0mL3OTC,"feel something","feel something","Bea Miller",2019-06-21,180161,66,true,teage03,2021-01-03T17:28:22Z,"","Hollywood Records",0.74,0.415,0,-8.914,1,0.0707,0.242,0.000156,0.319,0.156,136.029,4
spotify:track:37BZB0z9T8Xu7U3e65qxFy,"Save Your Tears (with Ariana Grande) (Remix)","Save Your Tears (Remix)","The Weeknd,Ariana Grande",2021-04-23,191013,81,false,teage03,2022-03-16T18:22:19Z,"pop","Republic Records",0.65,0.825,0,-4.645,1,0.0325,0.0215,0.0000244,0.0936,0.593,118.091,4
spotify:track:2iRniYXjMHKmwXqA2jYXP7,"Think About Things","Think About Things","Daði Freyr",2020-04-09,173385,4,false,teage03,2021-01-03T17:14:41Z,"","Samlist",0.871,0.341,3,-8.932,0,0.0576,0.0311,0.000124,0.0838,0.612,127.001,4
spotify:track:14d79QOV2pvJHH9vlUfZwJ,"Love To Go","Love To Go","Lost Frequencies,Zonderling,Kelvin Jones",2020-04-17,169353,61,false,teage03,2021-01-03T17:14:41Z,"tropical house,future house","Found Frequencies",0.755,0.783,11,-6.256,1,0.176,0.605,0.00663,0.203,0.419,104.022,4
spotify:track:1BJJbSX6muJVF2AK7uH1x4,"Move","Move","Adam Port,Stryv,Keinemusik,Orso,Malachiii",2024-06-07,177598,90,false,teage03,2024-08-10T07:40:39Z,"afro house,house,melodic house","Keinemusik",0.727,0.782,8,-8.529,0,0.042,0.0563,0.336,0.225,0.655,119.992,4
spotify:track:2pw12Ta8UfYKesE52ldUFm,"True","True","CYRIL,Kita Alexander",2024-08-09,125806,65,false,teage03,2024-08-10T07:40:39Z,"","Spinnin' Records",0.821,0.592,7,-11.013,1,0.0908,0.213,0,0.116,0.387,124.015,4
spotify:track:5uQ7de4EWjb3rkcFxyEOpu,"Belong Together","Belong Together","Mark Ambor",2024-02-16,148317,82,false,teage03,2024-07-04T03:04:24Z,"","Hundred Days Records, LLC",0.646,0.668,2,-5.203,1,0.0282,0.491,0,0.212,0.64,90.969,4
spotify:track:5mHdCZtVyb4DcJw8799hZp,"Escapism.","My 21st Century Blues","RAYE,070 Shake",2023-02-03,272373,82,true,teage03,2023-02-05T07:05:28Z,"","Human Re Sources",0.538,0.742,2,-5.355,1,0.114,0.138,0.0000467,0.0934,0.25,96.107,4
spotify:track:3USxtqRwSYz57Ewm6wWRMp,"Heat Waves","Dreamland","Glass Animals",2020-08-07,238805,91,false,teage03,2024-07-04T03:10:06Z,"","Polydor Records",0.761,0.525,11,-6.9,1,0.0944,0.44,0.0000067,0.0921,0.531,80.87,4
spotify:track:3an1JVi8OsE0aG6dMS4Pes,"Hässlich","Schwarzes Herz","AYLIVA",2023-08-25,136360,69,false,teage03,2023-10-20T19:40:44Z,"german pop","Whiteheart Records/WM Germany",0.914,0.489,9,-7.722,1,0.0858,0.12,0,0.0852,0.559,108.072,4
spotify:track:3hRV0jL3vUpRrcy398teAU,"The Night We Met","Strange Trails","Lord Huron",2015-04-06,208211,92,false,teage03,2024-07-04T03:04:24Z,"","Play It Again Sam",0.448,0.369,9,-9.514,1,0.0452,0.968,0.272,0.638,0.0998,174.097,3
spotify:track:5XeFesFbtLpXzIVDNQP22n,"I Wanna Be Yours","AM","Arctic Monkeys",2013-09-09,183956,95,false,teage03,2024-07-04T03:04:24Z,"indie,garage rock","Domino Recording Co",0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,4
spotify:track:7F1CiKqrY44kh5cDqwHOnx,"Love Is Gone - Acoustic","Love Is Gone (Acoustic)","SLANDER,Dylan Matthew",2019-11-13,176971,78,false,teage03,2024-05-26T11:16:16Z,"melodic bass,edm,future bass,dubstep","Gud Vibrations / Create Music Group Inc.",0.541,0.153,6,-10.654,1,0.0303,0.882,0.00000166,0.16,0.359,139.644,4
spotify:track:7221xIgOnuakPdLqT0F3nP,"I Had Some Help (Feat. Morgan Wallen)","I Had Some Help","Post Malone,Morgan Wallen",2024-05-10,178205,86,true,teage03,2024-07-04T03:24:18Z,"country","Mercury Records/Republic Records",0.638,0.855,7,-4.86,1,0.0264,0.00757,0,0.245,0.731,127.986,4
spotify:track:1kuGVB7EU95pJObxwvfwKS,"vampire","GUTS","Olivia Rodrigo",2023-09-08,219724,87,true,teage03,2024-08-10T07:57:49Z,"","Olivia Rodrigo PS",0.484,0.53,5,-5.821,1,0.0538,0.154,0,0.263,0.323,136.848,4
spotify:track:1zFwFZ112by5yUtZOysUJb,"Monster (Shawn Mendes & Justin Bieber)","Wonder (Deluxe)","Shawn Mendes,Justin Bieber",2020-12-07,178994,44,false,teage03,2024-08-10T07:58:20Z,"","Shawn Mendes LP4-5 PS/ Island",0.665,0.379,2,-7.432,0,0.0426,0.06,0,0.0841,0.512,73.004,4
spotify:track:6J26td5uctWg0UlzdzCj7Y,"Midnight Ride","Stampede","Orville Peck,Kylie Minogue,Diplo",2024-08-02,211525,56,false,teage03,2024-08-10T09:02:52Z,"alt country,dance pop,moombahton","Warner Records",0.627,0.821,6,-4.9,0,0.0425,0.012,0.0000141,0.0694,0.582,118.014,4
spotify:track:35iR1qzexmbcUSgA01S4gI,"Colorado","Trip Tape","Milky Chance",2021-11-03,174347,65,false,teage03,2024-10-12T07:10:02Z,"","Muggelig Records GmbH",0.79,0.744,9,-7.033,0,0.0294,0.287,0.000934,0.0909,0.798,123.984,4
spotify:track:2YcqcHBszXxXr87Ad5nTHF,"Mad Wild - Radiomix","Mad Wild (Radiomix)","No Angels",2021-08-06,150508,0,false,teage03,2024-10-12T07:11:55Z,"","BMG Rights Management GmbH",0.754,0.786,1,-4.635,0,0.0753,0.0587,0.0000297,0.239,0.61,117.98,4
spotify:track:3fGW43fnu3OHEw6ohTC2Bw,"Our Song","Therapy","Anne-Marie,Niall Horan",2021-07-23,163733,63,false,teage03,2024-10-12T07:12:20Z,"","Atlantic Records/Asylum",0.572,0.759,2,-4.312,1,0.0506,0.127,0,0.224,0.519,80.95,4
